#Val;f;;RMSD(f);;RMSD(es);;
#App;Amdahl;Gustafson;Amdahl;Gustafson;Amdahl;Gustafson;
EP;0.13;0.35;0.217;0.295;6.2;6.7
LV;0.20;0.47;0.195;0.285;5.7;6.8
BT;0.37;0.67;0.021;0.105;5.9;5.6
SP;0.49;0.77;0.049;0.118;7.3;7.3
BS;0.22;0.50;0.138;0.228;6.0;6.5
KM;0.29;0.59;0.155;0.247;5.6;7.5
PF;0.9905;0.9999;0.042;0.043;4.0;4.1
CL;0.24;0.53;0.145;0.236;4.9;6.2
FE;0.39;0.69;0.120;0.204;8.8;9.1
GH;0.52;0.80;0.093;0.159;14.3;13.9
