#Procs;Cores;Freq;Time[s];Energy[Wh];Energy[J];AvgPower[W];
1;1;4.00GHz;368.96;5.4;19440.0;52.7501392758;
1;2;4.00GHz;247.04;4.2;15120.0;62.1540425532;
1;3;4.00GHz;257.4;4.4;15840.0;62.2831372549;
1;4;4.00GHz;264.79;4.6;16560.0;63.8467680608;
1;5;4.00GHz;283.67;4.7;16920.0;59.8496453901;
1;6;4.00GHz;283.26;4.6;16560.0;59.540569395;
1;7;4.00GHz;291.53;4.5;16200.0;57.7273356401;
1;8;4.00GHz;300.11;4.6;16560.0;55.9751677852;
