#Cores;Measured Speedup;Predicted Speedup;Measured Energy Savings;Predicted Energy Savings;Measured Time;Predicted Time;Measured Energy;Predicted Energy
1;1.00;1.00;0.000;0.000;172.3;0.0;1480.7;0.0
2;1.16;1.05;0.031;0.032;148.0;0.0;1435.3;0.0
3;1.27;1.10;0.063;0.060;135.2;0.0;1387.4;0.0
4;1.26;1.16;-0.019;0.086;137.1;0.0;1509.1;0.0
5;1.13;1.19;-0.171;0.111;152.6;0.0;1733.8;0.0
6;1.20;1.23;-0.085;0.135;144.0;0.0;1607.2;0.0
7;1.23;1.26;-0.050;0.157;140.2;0.0;1554.1;0.0
8;1.26;1.30;-0.014;0.178;136.5;0.0;1501.6;0.0
