#Cores;Measured Speedup;Predicted Speedup;Measured Energy Savings;Predicted Energy Savings;Measured Time;Predicted Time;Measured Energy;Predicted Energy
1;1.00;1.00;0.000;0.000;4376.1;0.0;44502.8;0.0
2;1.68;1.31;0.229;0.151;2598.6;0.0;34326.6;0.0
3;2.14;1.62;0.294;0.243;2048.5;0.0;31425.5;0.0
4;2.35;1.93;0.344;0.306;1864.2;0.0;29211.7;0.0
5;1.70;2.02;0.178;0.330;2573.1;0.0;36592.4;0.0
6;1.88;2.11;0.250;0.351;2329.9;0.0;33363.4;0.0
7;2.06;2.20;0.301;0.370;2127.3;0.0;31089.9;0.0
8;2.24;2.29;0.349;0.388;1954.9;0.0;28989.1;0.0
