#Cores;Measured Speedup;Predicted Speedup;Measured Energy Savings;Predicted Energy Savings;Measured Time;Predicted Time;Measured Energy;Predicted Energy
1;1.00;1.00;0.000;0.000;709.8;0.0;6563.8;0.0
2;1.95;1.87;0.307;0.295;364.9;0.0;4549.8;0.0
3;2.85;2.74;0.428;0.403;248.7;0.0;3757.6;0.0
4;3.57;3.61;0.536;0.459;199.0;0.0;3045.6;0.0
5;3.96;3.99;0.582;0.501;179.3;0.0;2745.7;0.0
6;4.36;4.38;0.618;0.535;162.8;0.0;2509.0;0.0
7;4.75;4.76;0.646;0.564;149.5;0.0;2324.3;0.0
8;5.15;5.14;0.671;0.588;137.7;0.0;2158.9;0.0
