#Procs;Cores;Freq;Time[s];Energy[Wh];Energy[J];AvgPower[W];
1;1;2.04GHz;202.99;0.0036;12.96;5.9552238806;
1;2;2.04GHz;110.15;0.0022;7.92;6.75833333333;
1;3;2.04GHz;78.75;0.0016;5.76;7.25714285714;
1;4;2.04GHz;63.0;0.0013;4.68;7.72741935484;
