#Cores;Measured Speedup;Predicted Speedup;Measured Energy Savings;Predicted Energy Savings;Measured Time;Predicted Time;Measured Energy;Predicted Energy
1;1.00;1.00;0.000;0.000;8.6;8.6;456.8;273.4
2;1.37;1.36;0.200;0.177;6.2;6.3;365.2;243.1
3;1.61;1.54;0.290;0.236;5.3;5.6;324.5;233.0
4;1.73;1.65;0.334;0.266;4.9;5.2;304.3;228.0
5;1.68;1.72;0.300;0.284;5.1;5.0;319.9;224.9
6;1.76;1.78;0.315;0.295;4.9;4.8;313.0;222.9
7;1.81;1.82;0.413;0.304;4.7;4.7;268.1;221.5
8;1.81;1.85;0.367;0.310;4.7;4.6;289.3;220.4
