#Cores;Measured Speedup;Predicted Speedup;Measured Energy Savings;Predicted Energy Savings;Measured Time;Predicted Time;Measured Energy;Predicted Energy
1;1.00;1.00;0.000;0.000;13.3;13.3;694.0;405.5
2;1.36;1.47;0.143;0.217;9.8;9.0;594.6;347.9
3;1.71;1.75;0.166;0.289;7.8;7.6;578.5;328.7
4;1.80;1.93;0.163;0.325;7.4;6.9;581.0;319.1
5;2.02;2.05;0.289;0.346;6.6;6.5;493.1;313.4
6;2.05;2.15;0.215;0.361;6.5;6.2;545.0;309.5
7;2.45;2.22;0.362;0.371;5.4;6.0;442.5;306.8
8;2.30;2.28;0.330;0.379;5.8;5.8;464.9;304.7
