#Cores;Measured Speedup;Predicted Speedup;Measured Energy Savings;Predicted Energy Savings;Measured Time;Predicted Time;Measured Energy;Predicted Energy
1;1.00;1.00;0.000;0.000;693.3;693.3;34648.0;19528.8
2;1.88;1.70;0.326;0.279;368.7;406.7;23348.8;15661.8
3;2.60;2.23;0.421;0.372;266.5;311.2;20073.8;14372.8
4;3.23;2.63;0.484;0.419;214.6;263.4;17875.1;13728.3
5;2.80;2.95;0.449;0.447;247.8;234.8;19088.1;13341.6
6;3.13;3.21;0.471;0.465;221.8;215.7;18314.2;13083.8
7;3.24;3.43;0.480;0.478;213.7;202.0;18007.4;12899.6
8;3.54;3.61;0.505;0.488;195.9;191.8;17152.6;12761.5
