#Procs;Cores;Freq;Time[s];Energy[Wh];Energy[J];AvgPower[W];
1;1;1.20GHz;2111.38;1.8;6480.0;3.05312796209;
1;2;1.20GHz;1477.23;1.5;5400.0;3.58630508475;
1;3;1.20GHz;1399.83;1.4;5040.0;3.69091559371;
1;4;1.20GHz;1342.77;1.4;5040.0;3.73012677107;
