#Procs;Cores;Freq;Time[s];Energy[Wh];Energy[J];AvgPower[W];
1;1;1.20GHz;661.77;0.5;1800.0;2.61848484848;
1;2;1.20GHz;373.57;0.3;1080.0;3.17446236559;
1;3;1.20GHz;293.5;0.3;1080.0;3.51267123288;
1;4;1.20GHz;295.66;0.3;1080.0;3.55782312925;
