#Cores;Measured Speedup;Predicted Speedup;Measured Energy Savings;Predicted Energy Savings;Measured Time;Predicted Time;Measured Energy;Predicted Energy
1;1.00;1.00;0.000;0.000;3127.8;3053.3;33592.3;28854.1
2;1.85;1.76;0.265;0.275;1692.9;1732.0;24701.0;20926.2
3;2.42;2.36;0.426;0.366;1289.9;1291.6;19286.1;18283.6
4;2.91;2.85;0.498;0.412;1075.8;1071.4;16879.0;16962.3
5;1.27;1.21;0.056;0.140;2467.6;2527.1;31718.6;24825.4
6;1.35;1.40;0.155;0.233;2311.0;2174.3;28389.3;22128.3
7;1.40;1.59;0.180;0.300;2231.7;1922.4;27537.2;20201.8
8;1.44;1.76;0.196;0.350;2166.0;1733.4;26993.5;18757.0
