#Cores;Measured Speedup;Predicted Speedup;Measured Energy Savings;Predicted Energy Savings;Measured Time;Predicted Time;Measured Energy;Predicted Energy
1;1.00;1.00;0.000;0.000;335.7;337.8;2973.0;3192.4
2;1.87;1.86;0.284;0.293;179.6;182.0;2127.7;2257.7
3;2.58;2.60;0.391;0.390;129.9;130.1;1810.2;1946.1
4;3.10;3.24;0.484;0.439;108.4;104.1;1534.6;1790.3
5;2.23;2.20;0.329;0.395;150.5;153.7;1995.7;1930.3
6;2.60;2.55;0.418;0.468;128.9;132.5;1730.2;1697.7
7;2.94;2.88;0.487;0.520;114.1;117.3;1525.1;1531.6
8;3.25;3.19;0.538;0.559;103.2;105.9;1374.2;1407.0
