#Cores;Measured Speedup;Predicted Speedup;Measured Energy Savings;Predicted Energy Savings;Measured Time;Predicted Time;Measured Energy;Predicted Energy
1;1.00;1.00;0.000;0.000;99.3;99.5;876.0;940.4
2;1.08;1.05;0.059;0.032;92.2;94.4;824.3;910.0
3;1.10;1.07;0.093;0.043;90.1;92.8;794.2;899.9
4;1.12;1.08;0.101;0.048;89.0;91.9;787.1;894.8
5;1.04;1.08;0.054;0.051;95.4;92.4;829.0;892.0
6;1.06;1.08;0.053;0.059;93.8;91.9;829.9;885.3
7;1.08;1.09;0.086;0.064;92.4;91.5;800.7;880.5
8;1.08;1.09;0.086;0.068;91.6;91.3;800.9;876.8
