#Cores;Measured Speedup;Predicted Speedup;Measured Energy Savings;Predicted Energy Savings;Measured Time;Predicted Time;Measured Energy;Predicted Energy
1;1.00;1.00;0.000;0.000;69.5;69.5;3386.2;2311.9
2;1.56;1.42;0.245;0.199;44.5;49.0;2556.9;2115.5
3;2.21;1.84;0.371;0.308;31.4;37.8;2130.4;2050.0
4;2.63;2.26;0.428;0.376;26.4;30.8;1938.3;2017.2
5;2.83;2.68;0.462;0.423;24.5;26.0;1822.2;1997.6
6;3.11;3.10;0.506;0.457;22.4;22.5;1671.9;1984.5
7;3.39;3.51;0.530;0.483;20.5;19.8;1590.9;1975.1
8;3.65;3.93;0.565;0.504;19.0;17.7;1471.7;1968.1
