#Cores;Measured Speedup;Predicted Speedup;Measured Energy Savings;Predicted Energy Savings;Measured Time;Predicted Time;Measured Energy;Predicted Energy
1;1.00;1.00;0.000;0.000;8.6;8.6;456.8;313.7
2;1.37;1.15;0.200;0.087;6.2;7.5;365.2;305.1
3;1.61;1.30;0.290;0.155;5.3;6.6;324.5;302.2
4;1.73;1.45;0.334;0.208;4.9;5.9;304.3;300.8
5;1.68;1.60;0.300;0.252;5.1;5.4;319.9;299.9
6;1.76;1.74;0.315;0.288;4.9;4.9;313.0;299.4
7;1.81;1.89;0.413;0.319;4.7;4.5;268.1;298.9
8;1.81;2.04;0.367;0.345;4.7;4.2;289.3;298.6
