#Cores;Measured Speedup;Predicted Speedup;Measured Energy Savings;Predicted Energy Savings;Measured Time;Predicted Time;Measured Energy;Predicted Energy
1;1.00;1.00;0.000;0.000;157.9;157.9;7760.2;4520.7
2;2.00;1.79;0.385;0.298;79.1;88.2;4771.3;3679.9
3;2.99;2.58;0.496;0.413;52.9;61.2;3913.2;3399.6
4;3.89;3.37;0.555;0.475;40.6;46.9;3456.7;3259.5
5;4.13;4.16;0.588;0.513;38.2;38.0;3196.6;3175.4
6;4.92;4.95;0.638;0.539;32.1;31.9;2805.6;3119.3
7;5.59;5.74;0.682;0.558;28.2;27.5;2466.7;3079.3
8;6.32;6.53;0.715;0.572;25.0;24.2;2212.5;3049.2
