#Cores;Measured Speedup;Predicted Speedup;Measured Energy Savings;Predicted Energy Savings;Measured Time;Predicted Time;Measured Energy;Predicted Energy
1;1.00;1.00;0.000;0.000;369.0;369.0;19462.7;13928.4
2;1.49;1.06;0.211;0.038;247.0;347.9;15354.5;13778.1
3;1.43;1.12;0.176;0.073;257.4;329.2;16031.7;13727.9
4;1.39;1.18;0.131;0.104;264.8;312.4;16906.0;13702.9
5;1.30;1.24;0.128;0.131;283.7;297.2;16977.5;13687.9
6;1.30;1.30;0.133;0.157;283.3;283.4;16865.5;13677.8
7;1.27;1.36;0.135;0.180;291.5;270.8;16829.3;13670.7
8;1.23;1.42;0.137;0.201;300.1;259.3;16798.7;13665.3
