#Cores;Measured Speedup;Predicted Speedup;Measured Energy Savings;Predicted Energy Savings;Measured Time;Predicted Time;Measured Energy;Predicted Energy
1;1.00;1.00;0.000;0.000;15.5;15.5;876.4;584.4
2;1.20;1.06;0.155;0.041;13.0;14.6;740.5;577.7
3;1.27;1.13;0.206;0.077;12.2;13.7;695.6;575.5
4;1.34;1.19;0.184;0.109;11.6;13.0;714.8;574.4
5;1.31;1.26;0.162;0.138;11.9;12.3;734.6;573.7
6;1.34;1.32;0.183;0.164;11.6;11.7;716.4;573.2
7;1.33;1.38;0.174;0.188;11.6;11.2;724.3;572.9
8;1.33;1.45;0.200;0.209;11.7;10.7;701.3;572.7
