#Procs;Cores;Freq;Time[s];Energy[Wh];Energy[J];AvgPower[W];
1;1;2.00GHz;1279.04;0.021;75.6;6.40415035239;
1;2;2.00GHz;650.52;0.011;39.6;6.69784283513;
1;3;2.00GHz;447.24;0.008;28.8;6.98206278027;
1;4;2.00GHz;336.62;0.007;25.2;7.26686567164;
