#Procs;Cores;Freq;Time[s];Energy[Wh];Energy[J];AvgPower[W];
1;1;2.00GHz;691.13;0.0115;41.4;6.47594202899;
1;2;2.00GHz;376.0;0.0064;23.04;6.74812834225;
1;3;2.00GHz;271.14;0.0048;17.28;6.94296296296;
1;4;2.00GHz;217.95;0.004;14.4;7.16388888889;
