#Cores;Measured Speedup;Predicted Speedup;Measured Energy Savings;Predicted Energy Savings;Measured Time;Predicted Time;Measured Energy;Predicted Energy
1;1.00;1.00;0.000;0.000;3127.8;0.0;33592.3;0.0
2;1.85;1.66;0.265;0.251;1692.9;0.0;24701.0;0.0
3;2.42;2.31;0.426;0.360;1289.9;0.0;19286.1;0.0
4;2.91;2.97;0.498;0.421;1075.8;0.0;16879.0;0.0
5;1.27;1.16;0.056;0.114;2467.6;0.0;31718.6;0.0
6;1.35;1.33;0.155;0.199;2311.0;0.0;28389.3;0.0
7;1.40;1.49;0.180;0.266;2231.7;0.0;27537.2;0.0
8;1.44;1.65;0.196;0.320;2166.0;0.0;26993.5;0.0
