#Cores;Measured Speedup;Predicted Speedup;Measured Energy Savings;Predicted Energy Savings;Measured Time;Predicted Time;Measured Energy;Predicted Energy
1;1.00;1.00;0.000;0.000;495.6;0.0;4586.9;0.0
2;1.99;1.87;0.294;0.295;248.6;0.0;3237.0;0.0
3;2.73;2.74;0.439;0.403;181.7;0.0;2572.2;0.0
4;3.39;3.60;0.523;0.459;146.2;0.0;2188.9;0.0
5;1.98;1.82;0.425;0.331;250.7;0.0;2636.8;0.0
6;2.21;2.16;0.494;0.416;224.4;0.0;2322.2;0.0
7;2.56;2.49;0.555;0.479;193.7;0.0;2041.4;0.0
8;2.92;2.83;0.602;0.526;169.6;0.0;1826.6;0.0
