#Cores;Measured Speedup;Predicted Speedup;Measured Energy Savings;Predicted Energy Savings;Measured Time;Predicted Time;Measured Energy;Predicted Energy
1;1.00;1.00;0.000;0.000;264.9;0.0;2883.6;0.0
2;1.87;1.71;0.297;0.264;141.5;0.0;2027.0;0.0
3;2.41;2.42;0.457;0.373;110.0;0.0;1565.2;0.0
4;2.93;3.14;0.526;0.433;90.3;0.0;1368.1;0.0
5;1.45;1.37;-0.202;0.205;182.2;0.0;3466.3;0.0
6;1.68;1.59;0.102;0.292;157.4;0.0;2588.9;0.0
7;1.95;1.80;0.309;0.358;136.1;0.0;1991.4;0.0
8;2.16;2.02;0.408;0.410;122.8;0.0;1706.7;0.0
