#Procs;Cores;Freq;Time[s];Energy[Wh];Energy[J];AvgPower[W];
1;1;2.04GHz;1097.53;0.027;97.2;8.93650362319;
1;2;2.04GHz;592.39;0.0189;68.04;12.3383193277;
