#Procs;Cores;Freq;Time[s];Energy[Wh];Energy[J];AvgPower[W];
1;1;2.00GHz;264.41;0.0073;26.28;10.8144486692;
1;2;2.00GHz;140.48;0.0053;19.08;14.5928057554;
1;3;2.00GHz;108.63;0.0041;14.76;14.5280373832;
1;4;2.00GHz;89.9;0.0035;12.6;15.2056818182;
