#Procs;Cores;Freq;Time[s];Energy[Wh];Energy[J];AvgPower[W];
1;1;2.00GHz;4382.35;0.1138;409.68;10.20415437;
1;2;2.00GHz;2623.36;0.0904;325.44;13.214491654;
1;3;2.00GHz;2144.80;0.0873;314.28;15.4555503948;
1;4;2.00GHz;1912.80;0.0805;289.8;15.9555439875;
