#Cores;Measured Speedup;Predicted Speedup;Measured Energy Savings;Predicted Energy Savings;Measured Time;Predicted Time;Measured Energy;Predicted Energy
1;1.00;1.00;0.000;0.000;497.0;497.1;4571.1;4697.9
2;1.99;1.93;0.292;0.306;249.2;257.7;3238.2;3261.1
3;2.80;2.80;0.445;0.408;177.7;177.8;2536.2;2782.1
4;3.48;3.60;0.529;0.459;143.0;137.9;2154.6;2542.7
5;3.83;3.90;0.562;0.493;129.6;127.3;2003.9;2381.8
6;4.20;4.20;0.593;0.522;118.2;118.4;1858.9;2247.2
7;4.51;4.48;0.624;0.546;110.3;110.9;1718.7;2132.7
8;4.84;4.76;0.649;0.567;102.7;104.4;1606.7;2034.3
