#Cores;Measured Speedup;Predicted Speedup;Measured Energy Savings;Predicted Energy Savings;Measured Time;Predicted Time;Measured Energy;Predicted Energy
1;1.00;1.00;0.000;0.000;3123.4;3053.3;33694.9;28854.1
2;1.87;1.45;0.281;0.198;1669.8;2102.6;24240.8;23149.5
3;2.49;1.71;0.446;0.264;1253.6;1785.7;18661.2;21248.0
4;2.99;1.88;0.514;0.297;1043.5;1627.2;16382.9;20297.3
5;1.49;1.91;0.175;0.309;2091.3;1599.3;27791.3;19945.5
6;1.56;1.94;0.223;0.320;2000.4;1574.4;26195.6;19632.8
7;1.52;1.97;0.209;0.329;2057.3;1552.2;26666.8;19353.0
8;1.59;1.99;0.241;0.338;1964.7;1532.2;25559.7;19101.1
