#Procs;Cores;Freq;Time[s];Energy[Wh];Energy[J];AvgPower[W];
1;1;2.04GHz;305.03;0.58;2088.0;6.78618421053;
1;2;2.04GHz;167.87;0.38;1368.0;8.06107784431;
1;3;2.04GHz;115.53;0.29;1044.0;9.08596491228;
1;4;2.04GHz;87.34;0.24;864.0;9.92325581395;
1;5;2.04GHz;68.23;0.21;756.0;10.9925373134;
1;6;2.04GHz;57.07;0.19;684.0;11.8232142857;
