#Val;f;;;;RMSD(f);;;;RMSD(es);;;;
#App;Amdahl Static;Amdahl Dynamic;Gustafson Static;Gustafson Dynamic;Amdahl Static;Amdahl Dynamic;Gustafson Static;Gustafson Dynamic;Amdahl Static;Amdahl Dynamic;Gustafson Static;Gustafson Dynamic;
EP;0.01;0.009;0.06;0.04;0.060;0.017;0.044;0.029;9.6;9.4;9.8;9.5
LV;0.02;0.005;0.09;0.03;0.098;0.123;0.069;0.109;5.0;7.9;5.3;8.1
BT;0.05;0.06;0.16;0.21;0.134;0.049;0.189;0.106;4.7;5.9;5.2;6.6
SP;0.19;0.25;0.37;0.53;0.170;0.110;0.221;0.190;9.8;5.0;10.4;6.3
BS;0.09;0.11;0.29;0.35;0.036;0.054;0.124;0.101;8.2;10.0;9.2;11.1
KM;0.25;0.37;0.65;0.75;0.249;0.270;0.104;0.122;4.4;12.7;3.1;10.2
PF;0.58;0.9999;0.77;0.9999;0.092;0.014;0.116;0.014;4.9;23.5;6.2;23.5
