#Procs;Cores;Freq;Time[s];Energy[Wh];Energy[J];AvgPower[W];
1;1;2.00GHz;399.15;0.009;32.4;8.87085427136;
1;2;2.00GHz;229.85;0.007;25.2;11.9631578947;
1;3;2.00GHz;162.23;0.006;21.6;14.047826087;
1;4;2.00GHz;136.11;0.005;18.0;14.3896296296;
1;5;2.00GHz;134.79;0.005;18.0;14.2714285714;
1;6;2.00GHz;126.08;0.005;18.0;14.392;
1;7;2.00GHz;119.46;0.005;18.0;14.4525423729;
1;8;2.00GHz;112.15;0.004;14.4;14.5324324324;
