#Procs;Cores;Freq;Time[s];Energy[Wh];Energy[J];AvgPower[W];
1;1;2.00GHz;496.98;0.011;39.6;9.19777777778;
1;2;2.00GHz;249.19;0.008;28.8;12.9947368421;
1;3;2.00GHz;177.65;0.006;21.6;14.2765714286;
1;4;2.00GHz;143.01;0.006;21.6;15.0659574468;
1;5;2.00GHz;129.64;0.005;18.0;15.457480315;
1;6;2.00GHz;118.22;0.005;18.0;15.724137931;
1;7;2.00GHz;110.31;0.004;14.4;15.5805555556;
1;8;2.00GHz;102.65;0.004;14.4;15.652;
